USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 119732  4620 ?        Ss   13:31   0:07 /lib/systemd/systemd --system --deserialize 21
root       897  0.0  0.0   4396   708 ?        Ss   13:31   0:00 /usr/sbin/acpid
avahi      899  0.0  0.0  44908  1724 ?        Ss   13:31   0:01 avahi-daemon: running [hunglxc-Lenovo-B490.local]
root       900  0.0  0.1 450016  6656 ?        Ssl  13:31   0:02 /usr/sbin/NetworkManager --no-daemon
syslog     901  0.0  0.0 256392  1556 ?        Ssl  13:31   0:00 /usr/sbin/rsyslogd -n
root       905  0.0  0.0  28636  1756 ?        Ss   13:31   0:00 /lib/systemd/systemd-logind
root       948  0.0  0.1 282348  5740 ?        Ssl  13:31   0:00 /usr/lib/policykit-1/polkitd --no-debug
avahi      950  0.0  0.0  44780   116 ?        S    13:31   0:00 avahi-daemon: chroot helper
root      1033  0.0  0.0  19472   156 ?        Ss   13:31   0:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1044  0.0  0.0 350408  3336 ?        SLsl 13:31   0:00 /usr/sbin/lightdm
root      1092  0.1  0.3 435924 11632 ?        Ssl  13:31   0:12 /usr/bin/dockerd -H fd://
root      1114  5.3  1.9 494004 72348 tty7     Ssl+ 13:32   8:00 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
mysql     1122  0.0  1.4 1175356 50920 ?       Ssl  13:32   0:05 /usr/sbin/mysqld
root      1174  0.0  0.1 221500  3988 ?        Ss   13:32   0:00 php-fpm: master process (/etc/php/7.0/fpm/php-fpm.conf)
www-data  1177  0.0  0.0 221500   488 ?        S    13:32   0:00 php-fpm: pool www
www-data  1178  0.0  0.0 221500   488 ?        S    13:32   0:00 php-fpm: pool www
whoopsie  1225  0.0  0.1 447732  5568 ?        Ssl  13:32   0:00 /usr/bin/whoopsie -f
root      1275  0.0  0.0  43896  1820 ?        Ss   13:32   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
nobody    1306  0.0  0.0  52868  1336 ?        S    13:32   0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1391  0.0  0.1 220000  3768 ?        Ssl  13:32   0:07 containerd -l unix:///var/run/docker/libcontainerd/docker-containerd.sock --metrics-interval=0 --start-timeout 2m --state-dir /var/run/docker/libcontainerd/containerd --shim containerd-shim --runtime runc
root      1712  0.0  0.0 341044  1632 ?        Ss   13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
